two_theta,intensity
5,0
5.02,0.0105229
5.04,-0.00971
5.06,-0.0044596
5.08,-0.0115114
5.1,-0.0001098
5.12,-0.0054042
5.14,-0.0067443
5.16,-0.0019332
5.18,0.0252856
5.2,0.009007
5.22,-0.000681
5.24,-0.0064148
5.27,-0.0024824
5.29,0.0089192
5.31,0.0009886
5.33,-0.0012302
5.35,0.0084139
5.37,0.0035589
5.39,-0.003493
5.41,0
5.43,0.003842
5.45,0.0133958
5.47,0.015041
5.49,0.0175649
5.51,0.0104228
5.53,0.0103105
5.55,0.0049258
5.57,0.0157977
5.59,0.0090949
5.61,0.0037102
5.63,0.0044767
5.65,0.0091974
5.67,0.002934
5.69,0.0001855
5.71,0.0114968
5.73,0.0039152
5.76,0.0204989
5.78,0.0137961
5.8,0.0189562
5.82,0.0232376
5.84,-0.0063123
5.86,0.0164226
5.88,0.017189
5.9,0.0148799
5.92,0.0011472
5.94,0.0098223
5.96,0.0083919
5.98,0.0091583
6,0.0064098
6.02,0.0168424
6.04,0.0123364
6.06,0.0174966
6.08,0.001567
6.1,0.0150752
6.12,0.0171597
6.14,0.0130931
6.16,0.0094659
6.18,0.0207772
6.2,0.0017721
6.22,0.0012204
6.25,0.0195616
6.27,0.0067076
6.29,0.0224126
6.31,0.0029681
6.33,0.0081283
6.35,0.0106522
6.37,0.0087824
6.39,0.0003222
6.41,0.019542
6.43,0.0163542
6.45,0.0105301
6.47,0.0073423
6.49,0.0270015
6.51,-0.0003515
6.53,0.0030511
6.55,0.0156805
6.57,0.0182044
6.59,0.016774
6.61,0.0039201
6.63,0.0156707
6.65,0.005453
6.67,0.0158855
6.69,0.0091827
6.71,0.0081917
6.74,0.0216998
6.76,0.0057703
6.78,0.0100517
6.8,0.0134544
6.82,0.012024
6.84,0.0141086
6.86,0.0188293
6.88,0.0042179
6.9,0.0102568
6.92,0.0070689
6.94,0.0135471
6.96,0.0231009
6.98,0.0207918
7,0.0316637
7.02,0.0359451
7.04,0.0191369
7.06,0.0229789
7.08,0.0219879
7.1,0.0280267
7.12,0.0138547
7.14,0.0097881
7.16,0.0162664
7.18,0.0086848
7.2,0.013845
7.23,0.0097784
7.25,0
7.27,0.007147
7.29,0.0107791
7.31,0.0113357
7.33,0.0088166
7.35,0.0010252
7.37,0.0239895
7.39,0.0131224
7.41,0.0189514
7.43,0.0181898
7.45,0.0253368
7.47,0.0184241
7.49,0.0220562
7.51,0.0089924
7.53,0.0183363
7.55,0.0070299
7.57,0.0229643
7.59,0.0173697
7.61,0.0130931
7.63,0.0158465
7.65,0.0234329
7.67,0.0204745
