two_theta,intensity
5,0
5.02,0
5.04,0
5.06,0
5.08,0
5.1,0
5.12,0
5.14,0
5.16,0
5.18,0
5.2,0
5.22,0
5.24,0
5.26,0
5.28,0
5.3,0
5.32,0
5.34,0
5.36,0
5.38,0
5.4,0
5.42,-2e-07
5.44,-4e-07
5.46,-6e-07
5.48,-7e-07
5.5,-9e-07
5.52,-1.1e-06
5.54,-1.3e-06
5.56,-1.5e-06
5.58,-1.7e-06
5.6,3.33e-05
5.62,3.41e-05
5.64,3.5e-05
5.66,3.58e-05
5.68,3.68e-05
5.7,3.78e-05
5.72,3.88e-05
5.74,3.99e-05
5.76,4.1e-05
5.78,4.22e-05
5.8,4.35e-05
5.82,4.49e-05
5.84,4.63e-05
5.86,4.78e-05
5.88,4.94e-05
5.9,5.11e-05
5.92,5.29e-05
5.94,5.48e-05
5.96,5.68e-05
5.98,5.89e-05
6,6.11e-05
6.02,6.35e-05
6.04,6.61e-05
6.06,6.88e-05
6.08,7.17e-05
6.1,7.48e-05
6.12,7.81e-05
6.14,8.16e-05
6.16,8.54e-05
6.18,8.94e-05
6.2,9.37e-05
6.22,9.83e-05
6.24,0.0001033
6.26,0.0001087
6.28,0.0001145
6.3,0.0001208
6.32,0.0001276
6.34,0.0001349
6.36,0.0001429
6.38,0.0001516
6.4,0.0001611
6.42,0.0001715
6.44,0.000183
6.46,0.0001955
6.48,0.0002094
6.5,0.0002248
6.52,0.0002419
6.54,0.0002609
6.56,0.0002822
6.58,0.0003061
6.6,0.0003332
6.62,0.0003639
6.64,0.0003989
6.66,0.0004392
6.68,0.0004856
6.7,0.0005397
6.72,0.0006031
6.74,0.0006781
6.76,0.0007676
6.78,0.0008757
6.8,0.0010077
6.82,0.0011713
6.84,0.001377
6.86,0.0016404
6.88,0.0019848
6.9,0.0024473
6.92,0.0030919
6.94,0.0040416
6.96,0.0055412
6.98,0.0080444
7,0.0122494
7.02,0.0189121
7.04,0.0279567
7.06,0.0357676
7.08,0.0350869
7.1,0.0267029
7.12,0.0178801
7.14,0.0115709
7.16,0.0076354
7.18,0.0052989
7.2,0.0038921
7.22,0.002993
7.24,0.0023774
7.26,0.0019333
7.28,0.0016012
7.3,0.0013465
7.32,0.001147
7.34,0.0009881
7.36,0.0008595
7.38,0.0007541
7.4,0.0006666
7.42,0.0005932
7.44,0.0005311
7.46,0.0004781
7.48,0.0004324
7.5,0.0003929
7.52,0.0003584
7.54,0.0003281
7.56,0.0003015
7.58,0.0002778
7.6,0.0002568
7.62,0.0002379
7.64,0.000221
7.66,0.0002058
7.68,0.0001921
7.7,0.0001807
7.72,0.0001694
7.74,0.0001591
7.76,0.0001496
7.78,0.000141
7.8,0.000133
7.82,0.0001257
7.84,0.000119
7.86,0.0001127
7.88,0.000107
7.9,0.0001016
7.92,9.66e-05
7.94,9.2e-05
7.96,8.77e-05
7.98,8.37e-05
8,7.99e-05
8.02,7.64e-05
8.04,7.31e-05
8.06,7.01e-05
8.08,6.72e-05
8.1,6.45e-05
8.12,6.19e-05
8.14,5.95e-05
8.16,5.73e-05
8.18,5.52e-05
8.2,5.32e-05
8.22,5.13e-05
8.24,4.96e-05
8.26,4.79e-05
8.28,4.64e-05
8.3,4.49e-05
8.32,4.35e-05
8.34,4.22e-05
8.36,4.1e-05
8.38,3.99e-05
8.4,3.89e-05
8.42,3.79e-05
8.44,3.7e-05
8.46,3.61e-05
8.48,3.54e-05
8.5,3.47e-05
8.52,3.41e-05
8.54,3.35e-05
8.56,-1.1e-06
8.58,-6e-07
8.6,0
8.62,-4e-07
8.64,-7e-07
8.66,-9e-07
8.68,-1.1e-06
8.7,-1.1e-06
8.72,-1e-06
8.74,-8e-07
8.76,-5e-07
8.78,1e-07
8.8,9e-07
8.82,2e-06
8.84,3.4e-06
8.86,5.4e-06
8.88,7.9e-06
8.9,1.11e-05
8.92,1.54e-05
8.94,2.09e-05
8.96,2.83e-05
8.98,3.82e-05
9,5.18e-05
9.02,7.1e-05
9.04,9.96e-05
9.06,0.0001451
9.08,0.0002215
9.1,0.0003506
9.12,0.000557
9.14,0.0008421
9.16,0.0011015
9.18,0.0011017
9.2,0.0008415
9.22,0.0005542
9.24,0.0003454
9.26,0.000214
9.28,0.0001355
9.3,8.8e-05
9.32,5.75e-05
9.34,3.64e-05
9.36,2.1e-05
9.38,9.2e-06
9.4,0
9.42,-8.2e-06
9.44,-1.5e-05
9.46,-2.09e-05
9.48,-2.6e-05
9.5,-3.05e-05
9.52,-3.45e-05
9.54,-3.82e-05
9.56,-4.16e-05
9.58,5.18e-05
9.6,5.15e-05
9.62,5.16e-05
9.64,5.19e-05
9.66,5.25e-05
9.68,5.33e-05
9.7,5.43e-05
9.72,5.56e-05
9.74,5.71e-05
9.76,5.88e-05
9.78,6.07e-05
9.8,6.29e-05
9.82,6.54e-05
9.84,6.82e-05
9.86,7.14e-05
9.88,7.47e-05
9.9,7.83e-05
9.92,8.22e-05
9.94,8.65e-05
9.96,9.11e-05
9.98,9.61e-05
10,0.0001015
10.02,0.0001074
10.04,0.0001137
10.06,0.0001206
10.08,0.000128
10.1,0.0001361
10.12,0.0001447
10.14,0.0001541
10.16,0.0001643
10.18,0.0001753
10.2,0.0001872
10.22,0.0002002
10.24,0.0002143
10.26,0.0002297
10.28,0.0002464
10.3,0.0002646
10.32,0.0002845
10.34,0.0003063
10.36,0.0003302
10.38,0.0003564
10.4,0.0004005
10.42,0.0004329
10.44,0.0004687
10.46,0.0005085
10.48,0.0005527
10.5,0.000602
10.52,0.0006574
10.54,0.0007196
10.56,0.0007899
10.58,0.0008698
10.6,0.000961
10.62,0.0010657
10.64,0.0011866
10.66,0.0013261
10.68,0.0014908
10.7,0.0016855
10.72,0.0019176
10.74,0.0021972
10.76,0.0025382
10.78,0.0029594
10.8,0.0034876
10.82,0.0041618
10.84,0.0050397
10.86,0.0062121
10.88,0.0078331
10.9,0.0101932
10.92,0.0138716
10.94,0.0199662
10.96,0.0302397
10.98,0.0467829
11,0.0701738
11.02,0.0931852
11.04,0.0965038
11.06,0.0762983
11.08,0.0518336
11.1,0.0335701
11.12,0.0219852
11.14,0.0150816
11.16,0.0109577
11.18,0.0083612
11.2,0.006613
11.22,0.0053749
11.24,0.0044744
11.26,0.0038139
11.28,0.0033239
11.3,0.0029262
11.32,0.0025493
11.34,0.0022013
11.36,0.0019118
11.38,0.0016813
11.4,0.0014985
11.42,0.0013524
11.44,0.0012344
11.46,0.0011389
11.48,0.0010623
11.5,0.0010026
11.52,0.0009585
11.54,0.0009295
11.56,0.0009162
11.58,0.0009197
11.6,0.0009426
11.62,0.0009889
11.64,0.0010648
11.66,0.0011804
11.68,0.0013522
11.7,0.0016095
11.72,0.0020101
11.74,0.0026687
11.76,0.0037929
11.78,0.0056886
11.8,0.0086524
11.82,0.0125006
11.84,0.0153327
11.86,0.0142894
11.88,0.0105448
11.9,0.0070068
11.92,0.004549
11.94,0.0030325
11.96,0.0021298
11.98,0.0015781
12,0.0012181
12.02,0.0009665
12.04,0.0007817
12.06,0.0006411
12.08,0.0005314
12.1,0.000444
12.12,0.0003731
12.14,0.0003817
12.16,0.0003347
12.18,0.0002954
12.2,0.0002621
12.22,0.0002338
12.24,0.0002095
12.26,0.0001885
12.28,0.0001704
12.3,0.0001547
12.32,0.0001411
12.34,0.0001293
12.36,0.0001192
12.38,0.0001104
12.4,0.0001029
12.42,9.66e-05
12.44,9.14e-05
12.46,8.72e-05
12.48,8.4e-05
12.5,8.16e-05
12.52,-1.18e-05
12.54,-1e-05
12.56,-7.4e-06
12.58,-4.1e-06
12.6,0
12.62,-5.2e-06
12.64,-9.6e-06
12.66,-1.31e-05
12.68,6e-06
12.7,4.9e-06
12.72,0.000187
12.74,0.0001934
12.76,0.0002012
12.78,0.0002105
12.8,0.0002218
12.82,0.0002352
12.84,0.0002508
12.86,0.0002689
12.88,0.0002898
12.9,0.0003138
12.92,0.0003413
12.94,0.0003729
12.96,0.0004093
12.98,0.0004511
13,0.0004995
13.02,0.0005558
13.04,0.0006214
13.06,0.0006984
13.08,0.0007895
13.1,0.0008983
13.12,0.00103
13.14,0.0011916
13.16,0.0013938
13.18,0.0016534
13.2,0.0019991
13.22,0.0024863
13.24,0.0032215
13.26,0.004393
13.28,0.0062698
13.3,0.0090955
13.32,0.0126215
13.34,0.0151028
13.36,0.014306
13.38,0.0116251
13.4,0.0094204
13.42,0.0083758
13.44,0.0084571
13.46,0.0096387
13.48,0.0122032
13.5,0.0169239
13.52,0.0250842
13.54,0.0379673
13.56,0.0549317
13.58,0.067987
13.6,0.0642317
13.62,0.047991
13.64,0.0322584
13.66,0.0213387
13.68,0.0146513
13.7,0.0107521
13.72,0.0084648
13.74,0.0070711
13.76,0.0061981
13.78,0.0056623
13.8,0.0053703
13.82,0.0052726
13.84,0.005344
13.86,0.0055766
13.88,0.005977
13.9,0.0065663
13.92,0.0073823
13.94,0.0084859
13.96,0.0099733
13.98,0.0119888
14,0.0147798
14.02,0.0187915
14.04,0.0248947
14.06,0.0348762
14.08,0.0515496
14.1,0.0791331
14.12,0.120922
14.14,0.171681
14.16,0.2033656
14.18,0.1838446
14.2,0.1335112
14.22,0.0879096
14.24,0.0568345
14.26,0.0378023
14.28,0.0265022
14.3,0.0195948
14.32,0.0150872
14.34,0.0119468
14.36,0.0096527
14.38,0.0079221
14.4,0.0065851
14.42,0.0055327
14.44,0.0046903
14.46,0.0040063
14.48,0.0034442
14.5,0.0029774
14.52,0.0025864
14.54,0.0022565
14.56,0.0019766
14.58,0.0017383
14.6,0.0015351
14.62,0.0013627
14.64,0.0012165
