two_theta,intensity
5,0.0037234
5.02,0.0079787
5.04,0.0053191
5.06,0.006383
5.08,0.0090426
5.1,0.0079787
5.12,0.0058511
5.14,0.0074468
5.16,0.0090426
5.18,0.0069149
5.2,0.0079787
5.22,0.0074468
5.24,0.006383
5.26,0.0111702
5.28,0.0069149
5.3,0.0074468
5.32,0.006383
5.33,0.0079787
5.35,0.0031915
5.37,0.006383
5.39,0.0069149
5.41,0.006383
5.43,0.006383
5.45,0.0090426
5.47,0.0117021
5.49,0.0058511
5.51,0.0069149
5.53,0.0111702
5.55,0.0053191
5.57,0.0042553
5.59,0.0085106
5.61,0.0106383
5.63,0.0058511
5.65,0.0101064
5.67,0.0079787
5.69,0.0069149
5.71,0.0090426
5.73,0.0069149
5.75,0.0074468
5.77,0.0085106
5.79,0.0047872
5.81,0.0074468
5.83,0.0053191
5.85,0.0053191
5.87,0.0074468
5.89,0.0090426
5.91,0.0047872
5.93,0.0090426
5.95,0.0085106
5.96,0.0090426
5.98,0.0079787
6,0.0085106
6.02,0.0079787
6.04,0.006383
6.06,0.006383
6.08,0.0053191
6.1,0.0031915
6.12,0.006383
6.14,0.0074468
6.16,0.0090426
6.18,0.006383
6.2,0.0079787
6.22,0.0095745
6.24,0.0101064
6.26,0.0079787
6.28,0.0074468
6.3,0.0085106
6.32,0.0085106
6.34,0.0085106
6.36,0.0090426
6.38,0.012766
6.4,0.0085106
6.42,0.0074468
6.44,0.0058511
6.46,0.0058511
6.48,0.0074468
6.5,0.0085106
6.52,0.0053191
6.54,0.0079787
6.56,0.0079787
6.58,0.0074468
6.59,0.0053191
6.61,0.0101064
6.63,0.0106383
6.65,0.006383
6.67,0.0101064
6.69,0.0101064
6.71,0.0132979
6.73,0.0090426
6.75,0.0069149
6.77,0.0090426
6.79,0.0095745
6.81,0.0085106
6.83,0.0090426
6.85,0.0106383
6.87,0.0085106
6.89,0.012766
6.91,0.0154255
6.93,0.012234
6.95,0.0207447
6.97,0.0292553
6.99,0.0579787
7.01,0.0473404
7.03,0.0287234
7.05,0.0132979
7.07,0.0085106
7.09,0.0095745
7.11,0.0074468
7.13,0.0101064
7.15,0.012234
7.17,0.0095745
7.19,0.0069149
7.21,0.0069149
7.22,0.0058511
7.24,0.0069149
7.26,0.006383
7.28,0.0117021
7.3,0.0117021
7.32,0.0085106
7.34,0.0079787
7.36,0.006383
7.38,0.0074468
7.4,0.0058511
7.42,0.0074468
7.44,0.0079787
7.46,0.0111702
7.48,0.0069149
7.5,0.006383
7.52,0.012234
7.54,0.0117021
7.56,0.0111702
7.58,0.006383
7.6,0.0058511
7.62,0.006383
7.64,0.0106383
7.66,0.0085106
7.68,0.0069149
7.7,0.0074468
7.72,0.0101064
7.74,0.0138298
7.76,0.0143617
7.78,0.0106383
7.8,0.0090426
7.82,0.0053191
7.84,0.0058511
7.85,0.0074468
7.87,0.0111702
7.89,0.0101064
7.91,0.0111702
7.93,0.0090426
7.95,0.012766
7.97,0.0132979
7.99,0.0095745
8.01,0.0085106
8.03,0.0138298
8.05,0.0101064
8.07,0.0101064
8.09,0.0106383
8.11,0.0111702
8.13,0.0079787
8.15,0.0117021
8.17,0.0117021
8.19,0.0106383
8.21,0.0069149
8.23,0.0132979
8.25,0.0132979
8.27,0.0111702
8.29,0.0095745
8.31,0.0095745
8.33,0.0117021
8.35,0.012766
8.37,0.0111702
8.39,0.0074468
8.41,0.0079787
8.43,0.012234
8.45,0.0138298
8.47,0.0143617
8.48,0.0106383
8.5,0.012234
8.52,0.0148936
8.54,0.0085106
8.56,0.0111702
8.58,0.0117021
8.6,0.0117021
8.62,0.0079787
8.64,0.0117021
8.66,0.012234
8.68,0.0138298
8.7,0.0117021
8.72,0.012234
8.74,0.0117021
8.76,0.0106383
8.78,0.0053191
8.8,0.012766
8.82,0.0069149
8.84,0.0095745
8.86,0.0085106
8.88,0.006383
8.9,0.0101064
8.92,0.0143617
8.94,0.0117021
8.96,0.0101064
8.98,0.0095745
9,0.0085106
9.02,0.0095745
9.04,0.0101064
9.06,0.0148936
9.08,0.0106383
9.1,0.0095745
9.12,0.0101064
9.13,0.0101064
9.15,0.0143617
9.17,0.0090426
9.19,0.0079787
9.21,0.0106383
9.23,0.0138298
9.25,0.0111702
9.27,0.0042553
9.29,0.006383
9.31,0.0090426
9.33,0.0111702
9.35,0.0095745
9.37,0.0090426
9.39,0.0079787
9.41,0.0090426
9.43,0.0085106
9.45,0.0117021
9.47,0.0085106
9.49,0.0101064
9.51,0.0095745
9.53,0.0095745
9.55,0.0053191
9.57,0.0095745
9.59,0.0085106
9.61,0.012234
9.63,0.0132979
9.65,0.0058511
9.67,0.012766
9.69,0.0148936
9.71,0.0106383
9.73,0.0074468
9.75,0.0095745
9.76,0.0101064
9.78,0.0101064
9.8,0.0079787
9.82,0.0074468
9.84,0.0106383
9.86,0.0159575
9.88,0.0090426
9.9,0.0085106
9.92,0.0111702
9.94,0.012766
9.96,0.012766
9.98,0.0085106
10,0.0090426
10.02,0.0095745
10.04,0.0106383
10.06,0.0085106
10.08,0.0069149
10.1,0.0058511
10.12,0.012234
10.14,0.0085106
10.16,0.0106383
10.18,0.0106383
10.2,0.0058511
10.22,0.0069149
10.24,0.0069149
10.26,0.0085106
10.28,0.0090426
10.3,0.006383
10.32,0.0085106
10.34,0.0079787
10.36,0.0058511
10.38,0.0132979
10.39,0.012234
10.41,0.0074468
10.43,0.0079787
10.45,0.0095745
10.47,0.012766
10.49,0.0085106
10.51,0.0106383
10.53,0.0069149
10.55,0.0058511
10.57,0.012766
10.59,0.0101064
10.61,0.0111702
10.63,0.0079787
10.65,0.0090426
10.67,0.0074468
10.69,0.0095745
10.71,0.0101064
10.73,0.012766
10.75,0.0095745
10.77,0.0106383
10.79,0.0101064
10.81,0.0079787
10.83,0.0090426
10.85,0.0101064
10.87,0.0042553
10.89,0.0069149
10.91,0.0042553
10.93,0.0085106
10.95,0.0106383
10.97,0.0090426
10.99,0.0106383
11.01,0.0095745
11.02,0.012766
11.04,0.0117021
11.06,0.0101064
11.08,0.012234
11.1,0.0111702
11.12,0.0090426
11.14,0.0090426
11.16,0.0085106
11.18,0.0095745
11.2,0.0111702
11.22,0.0111702
11.24,0.0101064
11.26,0.006383
11.28,0.0132979
11.3,0.0090426
11.32,0.0053191
11.34,0.012234
11.36,0.0047872
11.38,0.0047872
11.4,0.0090426
11.42,0.0111702
11.44,0.0074468
11.46,0.0132979
11.48,0.0085106
11.5,0.0085106
11.52,0.0090426
11.54,0.006383
11.56,0.0106383
11.58,0.012234
11.6,0.0101064
11.62,0.0106383
11.64,0.0106383
11.65,0.0090426
11.67,0.0079787
11.69,0.0095745
11.71,0.0117021
11.73,0.0090426
11.75,0.0079787
11.77,0.0069149
11.79,0.0106383
11.81,0.0164894
11.83,0.0281915
11.85,0.0196809
11.87,0.0164894
11.89,0.0159575
11.91,0.0143617
11.93,0.0148936
11.95,0.0079787
11.97,0.006383
11.99,0.006383
12.01,0.0101064
12.03,0.0106383
12.05,0.0031915
12.07,0.0085106
12.09,0.0074468
12.11,0.0111702
12.13,0.0101064
12.15,0.0117021
12.17,0.0095745
12.19,0.0095745
12.21,0.0111702
12.23,0.0090426
12.25,0.0090426
12.27,0.0085106
12.28,0.0058511
12.3,0.0053191
12.32,0.0117021
12.34,0.0074468
12.36,0.0053191
12.38,0.0079787
12.4,0.0079787
12.42,0.0058511
12.44,0.0069149
12.46,0.0069149
12.48,0.0111702
12.5,0.0085106
12.52,0.0079787
12.54,0.0090426
12.56,0.0074468
12.58,0.006383
12.6,0.0085106
12.62,0.0085106
12.64,0.0117021
12.66,0.0085106
12.68,0.0047872
12.7,0.0101064
12.72,0.0111702
12.74,0.0090426
12.76,0.006383
12.78,0.0085106
12.8,0.0090426
12.82,0.006383
12.84,0.0132979
12.86,0.012234
12.88,0.0053191
12.9,0.0132979
12.92,0.0106383
12.93,0.0053191
12.95,0.0090426
12.97,0.0079787
12.99,0.0101064
13.01,0.0079787
13.03,0.0074468
13.05,0.0074468
13.07,0.0047872
13.09,0.006383
13.11,0.0069149
13.13,0.0079787
13.15,0.0090426
13.17,0.0106383
13.19,0.0079787
13.21,0.0095745
13.23,0.0031915
13.25,0.0042553
13.27,0.0106383
13.29,0.0069149
13.31,0.0111702
13.33,0.0074468
13.35,0.0106383
13.37,0.0074468
13.39,0.0058511
13.41,0.0069149
13.43,0.0074468
13.45,0.0074468
13.47,0.0090426
13.49,0.0111702
13.51,0.0106383
13.53,0.0058511
13.55,0.012234
13.56,0.0117021
13.58,0.0095745
13.6,0.0106383
13.62,0.0138298
13.64,0.0106383
13.66,0.012766
13.68,0.0138298
13.7,0.0132979
13.72,0.0095745
13.74,0.018617
13.76,0.0117021
13.78,0.012234
13.8,0.0207447
13.82,0.0164894
13.84,0.0228723
13.86,0.0159575
