two_theta,intensity
5,0.6
5.02,0.6
5.04,0.6
5.06,0.6
5.08,0.6
5.1,0.6
5.12,0.6
5.14,0.6
5.16,0.6
5.18,0.6
5.2,0.6
5.22,0.6
5.24,0.6
5.26,0.6
5.28,0.6
5.3,0.6
5.32,0.6
5.34,0.6
5.36,0.6
5.38,0.6
5.4,0.6
5.42,0.6
5.44,0.6
5.46,0.6
5.48,0.6
5.5,0.6
5.52,0.6
5.54,0.6
5.56,0.6000212
5.58,0.6000218
5.6,0.6000224
5.62,0.600023
5.64,0.6000237
5.66,0.6000244
5.68,0.6000252
5.7,0.600026
5.72,0.6000267
5.74,0.6000276
5.76,0.6000285
5.78,0.6000294
5.8,0.6000304
5.82,0.6000314
5.84,0.6000324
5.86,0.6000336
5.88,0.6000348
5.9,0.600036
5.92,0.6000374
5.94,0.6000388
5.96,0.6000403
5.98,0.6000418
6,0.6000435
6.02,0.6000453
6.04,0.6000471
6.06,0.6000491
6.08,0.6000512
6.1,0.6000535
6.12,0.6000559
6.14,0.6000585
6.16,0.6000612
6.18,0.6000642
6.2,0.6000674
6.22,0.6000708
6.24,0.6000745
6.26,0.6000785
6.28,0.6000829
6.3,0.6000875
6.32,0.6000926
6.34,0.6000982
6.36,0.6001043
6.38,0.6001109
6.4,0.6001182
6.42,0.6001262
6.44,0.6001351
6.46,0.600145
6.48,0.6001559
6.5,0.6001682
6.52,0.600182
6.54,0.6001976
6.56,0.6002151
6.58,0.6002352
6.6,0.6002581
6.62,0.6002846
6.64,0.6003154
6.66,0.6003513
6.68,0.6003938
6.7,0.6004444
6.72,0.6005053
6.74,0.6005794
6.76,0.6006709
6.78,0.6007856
6.8,0.6009317
6.82,0.6011218
6.84,0.6013753
6.86,0.601725
6.88,0.6022326
6.9,0.603021
6.92,0.6043243
6.94,0.6065226
6.96,0.6100764
6.98,0.6151506
7,0.6202946
7.02,0.6213233
7.04,0.6170526
7.06,0.6116453
7.08,0.6075551
7.1,0.6049468
7.12,0.6033894
7.14,0.6024597
7.16,0.6018751
7.18,0.6014808
7.2,0.6011994
7.22,0.6009905
7.24,0.6008311
7.26,0.6007069
7.28,0.6006083
7.3,0.6005288
7.32,0.6004637
7.34,0.60041
7.36,0.600365
7.38,0.600327
7.4,0.6002945
7.42,0.6002667
7.44,0.6002426
7.46,0.6002216
7.48,0.6002033
7.5,0.6001871
7.52,0.6001727
7.54,0.6001599
7.56,0.6001486
7.58,0.6001384
7.6,0.6001291
7.62,0.6001208
7.64,0.6001133
7.66,0.6001064
7.68,0.6001002
7.7,0.6000944
7.72,0.6000892
7.74,0.6000844
7.76,0.60008
7.78,0.6000758
7.8,0.6000721
7.82,0.6000686
7.84,0.6000653
7.86,0.6000623
7.88,0.6000594
7.9,0.6000568
7.92,0.6000543
7.94,0.600052
7.96,0.6000499
7.98,0.6000478
8,0.6000459
8.02,0.6000441
8.04,0.6000424
8.06,0.6000408
8.08,0.6000393
8.1,0.6000379
8.12,0.6000365
8.14,0.6000352
8.16,0.600034
8.18,0.6000329
8.2,0.6000317
8.22,0.6000307
8.24,0.6000297
8.26,0.6000288
8.28,0.6000279
8.3,0.600027
8.32,0.6000262
8.34,0.6000254
8.36,0.6000247
8.38,0.600024
8.4,0.6000233
8.42,0.6000226
8.44,0.600022
8.46,0.6000214
8.48,0.6000208
8.5,0.6
8.52,0.6
8.54,0.6
8.56,0.6
8.58,0.6
8.6,0.6
8.62,0.6
8.64,0.6
8.66,0.6
8.68,0.6
8.7,0.6
8.72,0.6
8.74,0.6
8.76,0.6
8.78,0.6
8.8,0.6
8.82,0.6000001
8.84,0.6000001
8.86,0.6000001
8.88,0.6000001
8.9,0.6000001
8.92,0.6000001
8.94,0.6000001
8.96,0.6000001
8.98,0.6000001
9,0.6000001
9.02,0.6000001
9.04,0.6000001
9.06,0.6000001
9.08,0.6000001
9.1,0.6000001
9.12,0.6000001
9.14,0.6000001
9.16,0.6000001
9.18,0.6000002
9.2,0.6000002
9.22,0.6000002
9.24,0.6000002
9.26,0.6000002
9.28,0.6000002
9.3,0.6000002
9.32,0.6000002
9.34,0.6000003
9.36,0.6000003
9.38,0.6000003
9.4,0.6000003
