two_theta,intensity
5,0
5.02,0.0001971
5.04,0.0001868
5.06,0.0057792
5.08,-0.0033617
5.1,0.0061735
5.12,0.004918
5.14,0.0015875
5.16,0.0024071
5.18,0.0059245
5.2,0.0090268
5.22,-0.0021892
5.24,-0.000747
5.27,-0.0001349
5.29,0.0085702
5.31,0.0056547
5.33,0.0043993
5.35,-0.0076468
5.37,0.0062461
5.39,0.0060282
5.41,0
5.43,0.0093761
5.45,0.0036038
5.47,0.0009442
5.49,0.0090752
5.51,0.0064156
5.53,0.0116414
5.55,0.0010964
5.57,0.0032095
5.59,0.0015875
5.61,0.0080584
5.63,0.0024936
5.65,0.0097946
5.67,0.0179256
5.69,0.0119458
5.71,0.0092862
5.73,-0.002089
5.76,0.0083247
5.78,0.0087777
5.8,0.0144186
5.82,0.002836
5.84,0.0086844
5.86,0.0141177
5.88,0.008968
5.9,-0.0015771
5.92,0.0123642
5.94,0.0030642
5.96,0.007045
5.98,0.0087432
6,6.57e-05
6.02,0.0032164
6.04,0.0051221
6.06,0.0076503
6.08,0.0014629
6.1,0.009594
6.12,0.0052743
6.14,0.0026146
6.16,0.0074255
6.18,0.0058034
6.2,0.0097842
6.22,0.0042194
6.25,0.00571
6.27,0.0092758
6.29,0.0057861
6.31,0.0064467
6.33,0.0056547
6.35,0.0054852
6.37,-0.0002871
6.39,0.0049388
6.41,0.0047693
6.43,0.0112402
6.45,0.014391
6.47,0.0079961
6.49,0.0013938
6.51,0.0062046
6.53,0.0025074
6.55,0.003168
6.57,0.0005084
6.59,0.0088469
6.61,0.0159404
6.63,0
6.65,-0.0014552
6.67,0.0141056
6.69,0.005595
6.71,0.0109878
6.74,0.0087025
6.76,0.0043422
6.78,0.0099424
6.8,0.0028844
6.82,0.0072396
6.84,0.0014266
6.86,0.0111771
6.88,0.0047416
6.9,0.0090968
6.92,0.0045289
6.94,0.0103367
6.96,0.0063914
6.98,0.0018235
7,0.0082538
7.02,0.0061761
7.04,0.0070035
7.06,-0.000262
7.08,0.0053382
7.1,0.0032605
7.12,-0.0052501
7.14,0.0028403
7.16,0.008648
7.18,0.0020051
7.2,0.0159058
7.23,0.0094703
7.25,0.0005447
7.27,-0.0017405
7.29,0.0082174
7.31,0.001782
7.33,0.0075897
7.35,0.0053045
7.37,0.0071695
7.39,0.0052993
7.41,0.0146348
7.43,0.0055016
7.45,0.0092343
7.47,0.0025913
7.49,0.0086065
7.51,0.0077739
7.53,0.0061112
7.55,0.003411
7.57,0.0077661
7.59,0.0052734
7.61,0.0048558
7.63,0.0127386
7.65,0.0087933
7.67,0.0069231
7.69,0.0027703
7.72,0.0100306
7.74,0.0035951
7.76,0.0023475
7.78,0.0035899
7.8,-0.0042981
7.82,0.0145829
7.84,0.0106376
7.86,0.0145777
7.88,0.0037845
7.9,0.0068946
7.92,0.0023267
7.94,0.0093795
7.96,0.0052267
7.98,0.0099969
8,0.0048065
8.02,0.0031438
8.04,0.009159
8.06,0.0091565
8.08,0.0014759
8.1,0.0006433
8.12,0.0074886
8.14,0.0039583
8.16,0.0033332
8.18,0.0006329
8.21,0.0056106
8.23,-0.0020699
8.25,0.0006251
8.27,0
8.29,0.0084057
8.31,0.0039456
8.33,0.0069559
8.35,0.0137015
8.37,0.0044686
8.39,0.0041587
8.41,0.005094
8.43,0.0078968
8.45,0.0063419
8.47,0.0118423
8.49,0.0119475
8.51,0.0064499
8.53,0.0073851
8.55,0.0060378
8.57,0.0042753
8.59,0.003758
8.61,0.0065608
8.63,0.0116463
8.65,0.0042811
8.67,0.0081215
8.7,0.0084342
8.72,0.0112371
8.74,0.0113423
8.76,0.0124851
8.78,0.0047049
8.8,0.0077153
8.82,0.0059529
8.84,0.0033604
8.86,0.0032581
8.88,0.0093812
8.9,0.0086564
8.92,0.0025363
8.94,-5.61e-05
8.96,0.0058595
8.98,0.0028521
9,0.0104278
9.02,0.0045152
9.04,0.0058655
9.06,0.0022355
9.08,0.014584
9.1,0.000371
9.12,0.0029664
9.14,0.0072219
9.16,0.0046296
9.19,0.0001696
9.21,0.00235
9.23,0.0057755
9.25,0.0054658
9.27,0.0064011
9.29,0.0025637
9.31,0.0066118
9.33,0.0021518
9.35,0.0018421
9.37,0.0081728
9.39,0.0078631
9.41,0.0046483
9.43,0.0055837
9.45,0.0108768
9.47,0.009737
9.49,0.0042396
9.51,0.0068351
9.53,0.0090156
9.55,0.0101585
9.57,-0.0026019
9.59,0.0039364
9.61,0.0017591
9.63,0.0045621
9.65,0.0067426
9.68,0.0051879
9.7,0.0059158
9.72,0.0014559
9.74,-0.0013438
9.76,0.0051945
9.78,0.0021872
9.8,0.0029151
9.82,0.0102835
9.84,0.0020884
9.86,0.0065515
9.88,0.0052044
9.9,0.000952
9.92,0.0035476
9.94,0.0044831
9.96,0.0058336
9.98,0.0034489
10,0.0043844
10.02,0.0034522
10.04,0.0062553
10.06,0.0055307
10.08,0.0118615
10.1,0.003874
10.12,-0.0001708
10.14,0.0013872
10.17,0.0056429
10.19,0.0020132
10.21,0.0056463
10.23,0.0084495
10.25,0.000877
10.27,-0.0031678
10.29,0.0044081
10.31,0.0063812
10.33,0.0071092
10.35,0.004102
10.37,0.00483
10.39,0.0014077
10.41,0.0025508
10.43,0.0051464
10.45,0.0027617
10.47,0.0028672
10.49,0.0048403
10.51,0.0082659
10.53,0.0085789
10.55,0.0061943
10.57,0.0056772
10.59,-0.0018952
10.61,0.0060957
10.63,-0.0010617
10.66,0.0087968
10.68,0.0014319
10.7,0.0050651
10.72,0.0035104
10.74,0.0061061
10.76,0.0028914
10.78,0.0125424
10.8,0.0031023
10.82,-0.0013575
10.84,0.0039358
10.86,0.0044563
10.88,0.0002041
10.9,0.00861
10.92,0
10.94,-0.0022031
10.96,0.0018192
10.98,0.0041814
11,0.0061285
11.02,0.0012278
11.04,-0.0007678
11.06,0.0018019
11.08,0.0047866
11.1,0.0048662
11.12,0.0057757
11.15,0.0056478
11.17,0.0113302
11.19,0.0138998
11.21,0.0156395
11.23,0.0180017
11.25,0.0218164
11.27,0.0335166
11.29,0.0410666
11.31,0.0496541
11.33,0.0399806
11.35,0.0226292
11.37,0.0160683
11.39,0.0122052
11.41,0.0035692
11.43,0.0042713
11.45,0.0039358
11.47,0.0089956
