two_theta,intensity
5,0
5.02,0
5.04,0
5.06,-1e-07
5.08,-1e-07
5.1,-1e-07
5.12,-1e-07
5.14,0
5.16,0
5.18,1e-07
5.2,1e-07
5.22,2e-07
5.24,3e-07
5.26,1.2e-06
5.28,1.5e-06
5.3,1.7e-06
5.32,2.1e-06
5.34,2.5e-06
5.36,3e-06
5.38,3.7e-06
5.4,4.6e-06
5.42,5.8e-06
5.44,7.4e-06
5.46,9.6e-06
5.48,1.29e-05
5.5,1.81e-05
5.52,2.66e-05
5.54,4.11e-05
5.56,6.44e-05
5.58,9.7e-05
5.6,0.0001282
5.62,0.0001311
5.64,0.0001024
5.66,6.87e-05
5.68,4.39e-05
5.7,2.82e-05
5.72,1.88e-05
5.74,1.32e-05
5.76,9.7e-06
5.78,7.3e-06
5.8,5.6e-06
5.82,4.3e-06
5.84,3.4e-06
5.86,2.6e-06
5.88,2.1e-06
5.9,1.6e-06
5.92,1.3e-06
5.94,5.5e-06
5.96,5.4e-06
5.98,5.4e-06
6,5.4e-06
6.02,5.5e-06
6.04,5.6e-06
6.06,5.8e-06
6.08,6e-06
6.1,6.3e-06
6.12,6.6e-06
6.14,7e-06
6.16,7.4e-06
6.18,7.8e-06
6.2,8.4e-06
6.22,9e-06
6.24,9.6e-06
6.26,1.04e-05
6.28,1.13e-05
6.3,1.23e-05
6.32,1.34e-05
6.34,1.47e-05
6.36,1.62e-05
6.38,1.79e-05
6.4,1.99e-05
6.42,2.24e-05
6.44,2.53e-05
6.46,2.88e-05
6.48,3.31e-05
6.5,3.85e-05
6.52,4.54e-05
6.54,5.45e-05
6.56,6.68e-05
6.58,8.42e-05
6.6,0.0001107
6.62,0.0001537
6.64,0.0002259
6.66,0.0003436
6.68,0.0005163
6.7,0.0007078
6.72,0.0007805
6.74,0.0006537
6.76,0.0004608
6.78,0.0003078
6.8,0.000209
6.82,0.0001505
6.84,0.0001168
6.86,9.69e-05
6.88,8.47e-05
6.9,7.72e-05
6.92,7.29e-05
6.94,7.09e-05
6.96,7.08e-05
6.98,7.24e-05
7,7.55e-05
7.02,8.01e-05
7.04,8.65e-05
7.06,9.47e-05
7.08,0.0001051
7.1,0.0001181
7.12,0.0001347
7.14,0.0001558
7.16,0.0001829
7.18,0.0002181
7.2,0.000265
7.22,0.000329
7.24,0.0004204
7.26,0.000559
7.28,0.0007841
7.3,0.0011639
7.32,0.0017924
7.34,0.0027437
7.36,0.0038866
7.38,0.0045158
7.4,0.0039505
7.42,0.0028113
7.44,0.0018399
7.46,0.0011924
7.48,0.0007996
7.5,0.0005667
7.52,0.0004235
7.54,0.0003292
7.56,0.0002632
7.58,0.0002147
7.6,0.000178
7.62,0.0001496
7.64,0.0001271
7.66,0.0001091
7.68,9.45e-05
7.7,8.24e-05
7.72,7.23e-05
7.74,6.37e-05
7.76,5.65e-05
7.78,5.03e-05
7.8,4.49e-05
7.82,4.1e-05
7.84,3.69e-05
7.86,3.33e-05
7.88,3.02e-05
7.9,2.73e-05
7.92,2.48e-05
7.94,2.26e-05
7.96,2.05e-05
7.98,1.87e-05
8,1.7e-05
8.02,1.55e-05
8.04,1.41e-05
8.06,1.29e-05
8.08,1.17e-05
8.1,1.07e-05
8.12,9.7e-06
8.14,8.8e-06
8.16,8e-06
8.18,6.5e-06
8.2,5.8e-06
8.22,5.2e-06
8.24,4.6e-06
8.26,4.1e-06
8.28,3.7e-06
8.3,3.3e-06
8.32,2.9e-06
8.34,2.5e-06
8.36,2.1e-06
8.38,1.8e-06
8.4,1.5e-06
8.42,1.2e-06
8.44,1e-06
8.46,8e-07
8.48,6e-07
8.5,4e-07
8.52,3e-07
8.54,2e-07
8.56,1e-07
8.58,0
8.6,0
8.62,-2e-07
8.64,-3e-07
8.66,-4e-07
8.68,-5e-07
8.7,-6e-07
8.72,-6e-07
8.74,-5e-07
8.76,-4e-07
8.78,-2e-07
8.8,0
8.82,1e-07
8.84,-4.2e-06
8.86,-3.8e-06
8.88,-3.3e-06
8.9,-2.6e-06
8.92,-1.7e-06
8.94,-6e-07
8.96,8e-07
8.98,2.5e-06
9,4.7e-06
9.02,7.6e-06
9.04,1.13e-05
9.06,1.61e-05
9.08,2.24e-05
9.1,3.1e-05
9.12,4.29e-05
9.14,6.02e-05
9.16,8.71e-05
9.18,0.0001315
9.2,0.0002066
9.22,0.0003297
9.24,0.0005102
9.26,0.000708
9.28,0.0007775
9.3,0.0006396
9.32,0.0004363
9.34,0.0002757
9.36,0.0001716
9.38,0.000109
9.4,7.17e-05
9.42,4.85e-05
9.44,3.35e-05
9.46,2.26e-05
9.48,1.47e-05
9.5,8.8e-06
9.52,4.6e-06
9.54,1.6e-06
9.56,-2e-07
9.58,-9e-07
9.6,0
9.62,2.4e-06
9.64,8.4e-06
9.66,2.05e-05
9.68,4.18e-05
9.7,7.31e-05
9.72,0.0001046
9.74,0.0001088
9.76,7.87e-05
9.78,5.38e-05
9.8,2.59e-05
9.82,7.9e-06
9.84,2.97e-05
9.86,2.35e-05
9.88,1.97e-05
9.9,1.72e-05
9.92,1.55e-05
9.94,1.43e-05
9.96,1.36e-05
9.98,1.32e-05
10,1.31e-05
10.02,1.32e-05
10.04,1.35e-05
10.06,1.4e-05
10.08,1.47e-05
10.1,1.55e-05
10.12,1.65e-05
10.14,1.77e-05
10.16,1.91e-05
10.18,2.08e-05
10.2,2.25e-05
10.22,2.44e-05
10.24,2.66e-05
10.26,2.9e-05
10.28,3.16e-05
10.3,3.45e-05
10.32,3.76e-05
10.34,4.11e-05
10.36,5.34e-05
10.38,5.77e-05
10.4,6.25e-05
10.42,6.77e-05
10.44,7.34e-05
10.46,7.96e-05
10.48,8.64e-05
10.5,9.39e-05
10.52,0.0001021
10.54,0.0001111
10.56,0.000121
10.58,0.000132
10.6,0.0001441
10.62,0.0001578
10.64,0.000173
10.66,0.0001902
10.68,0.0002097
10.7,0.0002322
10.72,0.0002583
10.74,0.0002886
10.76,0.000327
10.78,0.0003767
10.8,0.0004452
10.82,0.0005428
10.84,0.0006792
10.86,0.0008475
10.88,0.0009844
10.9,0.0010051
10.92,0.0009581
10.94,0.0009339
10.96,0.0009607
10.98,0.0010369
11,0.0011583
11.02,0.0013252
11.04,0.0015445
11.06,0.0018314
11.08,0.0022119
11.1,0.002732
11.12,0.0034823
11.14,0.0046087
11.16,0.0063832
11.18,0.0091887
11.2,0.0134187
11.22,0.0189181
11.24,0.0241331
11.26,0.0284981
11.28,0.0339604
11.3,0.0384314
11.32,0.0354447
11.34,0.0263712
11.36,0.0176734
11.38,0.0116002
11.4,0.0078229
11.42,0.0055602
11.44,0.0041763
11.46,0.0032786
11.48,0.0026598
11.5,0.002215
11.52,0.0018884
11.54,0.0016477
11.56,0.0014741
11.58,0.0013575
11.6,0.0012938
11.62,0.0012799
11.64,0.0013034
11.66,0.0013362
11.68,0.0013844
11.7,0.0015071
11.72,0.0017766
11.74,0.0022982
11.76,0.0032335
11.78,0.0047654
11.8,0.0069034
11.82,0.008858
11.84,0.0088528
11.86,0.006863
11.88,0.0046631
11.9,0.0030609
11.92,0.0020505
11.94,0.0014451
11.96,0.0010776
11.98,0.0008409
12,0.000683
12.02,0.0005642
12.04,0.0004746
12.06,0.0004055
12.08,0.0003514
12.1,0.0003086
12.12,0.0002745
12.14,0.0002475
12.16,0.0002263
12.18,0.0002101
12.2,0.0001986
12.22,0.0001914
12.24,0.0001886
12.26,0.0001904
12.28,0.0001976
12.3,0.0002112
12.32,0.0002334
12.34,0.0002678
12.36,0.0003194
12.38,0.0003961
12.4,0.0005023
12.42,0.0006301
12.44,0.0007632
12.46,0.0009409
12.48,0.0012626
12.5,0.0018473
12.52,0.0028207
12.54,0.004218
12.56,0.0056139
12.58,0.0058655
12.6,0.0047417
12.62,0.0033593
12.64,0.0022733
12.66,0.0015119
12.68,0.0010128
12.7,0.0006899
12.72,0.0004934
12.74,0.0003633
12.76,0.0002727
12.78,0.000174
12.8,0.0001253
12.82,8.79e-05
12.84,8.54e-05
12.86,6.31e-05
12.88,4.55e-05
12.9,3.17e-05
12.92,2.09e-05
12.94,1.27e-05
12.96,6.6e-06
12.98,2.4e-06
13,0
13.02,-7.1e-06
13.04,-1.25e-05
13.06,-1.63e-05
13.08,-1.83e-05
13.1,-1.85e-05
13.12,-1.64e-05
13.14,-1.2e-05
13.16,9.5e-06
13.18,2.13e-05
13.2,3.79e-05
13.22,6.08e-05
13.24,9.19e-05
13.26,0.0001344
13.28,0.0001931
13.3,0.0002757
13.32,0.0004602
13.34,0.0006513
13.36,0.0009663
13.38,0.0014996
13.4,0.0023735
13.42,0.0036601
13.44,0.0050874
13.46,0.0056252
13.48,0.0046688
13.5,0.0032154
13.52,0.00206
13.54,0.0013109
13.56,0.0008633
13.58,0.0006002
13.6,0.00044
13.62,0.0003371
13.64,0.0002685
13.66,0.0002218
13.68,0.0001909
13.7,0.0001719
13.72,0.0001625
13.74,0.0001612
13.76,0.0001671
13.78,0.00018
13.8,0.0001998
13.82,0.0002274
13.84,0.0002632
13.86,0.0003085
13.88,0.0003655
13.9,0.0004368
13.92,0.0005265
13.94,0.0006411
13.96,0.0007907
13.98,0.0009932
14,0.001283
14.02,0.0017252
14.04,0.0024253
14.06,0.0035117
14.08,0.0050668
14.1,0.0067644
14.12,0.0075175
14.14,0.006884
14.16,0.0060306
14.18,0.0058504
14.2,0.0066996
14.22,0.0089266
14.24,0.0129952
14.26,0.0191179
14.28,0.0257481
14.3,0.0277882
14.32,0.0228997
14.34,0.016155
14.36,0.0108827
14.38,0.0075473
14.4,0.0056352
14.42,0.004608
14.44,0.0041047
